length_nm,ngm_id,nidw
1260,6.773,1.87
1260,6.52,1.998
1260,6.284,2.131
1260,6.063,2.266
1260,5.857,2.405
1260,5.664,2.548
1260,5.482,2.694
1260,5.312,2.843
1260,5.152,2.996
1260,5.001,3.152
1260,4.859,3.311
1260,4.725,3.474
1260,4.599,3.64
1260,4.479,3.809
1260,4.365,3.981
1260,4.257,4.156
1260,4.155,4.335
1260,4.058,4.516
1260,3.965,4.701
1260,3.876,4.889
1260,3.792,5.08
1260,3.711,5.274
1260,3.634,5.472
1260,3.56,5.672
1260,3.489,5.876
1260,3.421,6.082
1260,3.356,6.292
1260,3.293,6.504
1260,3.232,6.72
1260,3.174,6.939
1260,3.118,7.16
1260,3.064,7.385
1260,3.011,7.613
1260,2.961,7.844
1260,2.912,8.077
1260,2.865,8.314
1260,2.819,8.554
1260,2.774,8.796
1260,2.732,9.042
1260,2.69,9.29
1260,2.65,9.542
1260,2.61,9.796
1260,2.572,10.05
1260,2.535,10.31
1260,2.499,10.58
1260,2.464,10.84
1260,2.43,11.11
1260,2.397,11.38
1260,2.365,11.66
1260,2.334,11.93
1260,2.303,12.21
1260,2.273,12.5
1260,2.244,12.78
