length_nm,ngm_id,nft
360,3.858,8804000000
360,3.748,8881000000
360,3.642,8954000000
360,3.541,9023000000
360,3.445,9088000000
360,3.353,9148000000
360,3.264,9205000000
360,3.18,9257000000
360,3.098,9306000000
360,3.02,9350000000
360,2.945,9391000000
360,2.872,9427000000
360,2.802,9459000000
360,2.735,9487000000
360,2.67,9512000000
360,2.607,9532000000
360,2.546,9548000000
360,2.487,9560000000
360,2.43,9568000000
360,2.374,9573000000
360,2.321,9573000000
360,2.268,9570000000
360,2.218,9563000000
360,2.168,9552000000
360,2.121,9537000000
360,2.074,9518000000
360,2.029,9496000000
360,1.984,9471000000
360,1.941,9442000000
360,1.899,9409000000
360,1.859,9374000000
540,24.15,124000000
540,23.94,151300000
540,23.72,183100000
540,23.47,220100000
540,23.18,262800000
540,22.84,311800000
540,22.44,368000000
540,21.99,432100000
540,21.46,504900000
540,20.87,587200000
540,20.23,679400000
540,19.53,781600000
540,18.79,893500000
540,18.03,1014000000
540,17.24,1143000000
540,16.46,1278000000
540,15.67,1419000000
540,14.9,1563000000
540,14.16,1709000000
540,13.44,1855000000
540,12.75,2001000000
540,12.09,2144000000
540,11.47,2285000000
540,10.88,2422000000
540,10.34,2555000000
540,9.823,2683000000
540,9.344,2808000000
540,8.897,2927000000
540,8.481,3043000000
540,8.093,3154000000
540,7.733,3260000000
540,7.397,3363000000
540,7.085,3463000000
540,6.793,3558000000
540,6.522,3651000000
540,6.268,3740000000
540,6.031,3826000000
540,5.809,3910000000
540,5.601,3991000000
540,5.406,4069000000
540,5.223,4145000000
540,5.05,4218000000
540,4.886,4289000000
540,4.732,4358000000
540,4.586,4424000000
540,4.448,4488000000
540,4.316,4550000000
540,4.191,4609000000
540,4.072,4666000000
540,3.958,4720000000
540,3.849,4771000000
540,3.745,4821000000
540,3.645,4867000000
540,3.549,4911000000
540,3.457,4952000000
540,3.368,4991000000
540,3.282,5026000000
540,3.199,5059000000
540,3.119,5088000000
540,3.042,5115000000
540,2.967,5139000000
540,2.895,5160000000
540,2.824,5178000000
540,2.756,5192000000
540,2.69,5204000000
