length_nm,ngm_id,nidw
540,6.793,17.46
540,6.522,18.66
540,6.268,19.9
540,6.031,21.16
540,5.809,22.45
540,5.601,23.77
540,5.406,25.11
540,5.223,26.48
540,5.05,27.88
540,4.886,29.3
540,4.732,30.74
540,4.586,32.2
540,4.448,33.69
540,4.316,35.2
540,4.191,36.73
540,4.072,38.28
540,3.958,39.85
540,3.849,41.43
540,3.745,43.04
540,3.645,44.66
540,3.549,46.29
540,3.457,47.94
540,3.368,49.61
540,3.282,51.28
540,3.199,52.97
540,3.119,54.67
540,3.042,56.38
540,2.967,58.1
540,2.895,59.83
540,2.824,61.57
540,2.756,63.31
540,2.69,65.06
540,2.625,66.81
540,2.563,68.57
540,2.502,70.32
540,2.442,72.08
540,2.385,73.84
540,2.329,75.61
540,2.274,77.37
540,2.221,79.12
540,2.169,80.88
540,2.119,82.63
540,2.07,84.38
540,2.022,86.12
540,1.976,87.86
540,1.931,89.6
540,1.887,91.32
540,1.844,93.04
720,23.84,0.1091
720,23.6,0.1383
720,23.33,0.1749
720,23.01,0.2206
720,22.64,0.2771
720,22.21,0.3468
720,21.72,0.4321
720,21.16,0.5354
720,20.53,0.6595
720,19.86,0.8071
720,19.14,0.9809
720,18.39,1.183
720,17.61,1.417
720,16.83,1.683
720,16.05,1.984
720,15.28,2.32
720,14.52,2.693
720,13.8,3.103
720,13.1,3.549
720,12.43,4.032
720,11.8,4.552
720,11.21,5.106
720,10.65,5.696
720,10.12,6.319
720,9.635,6.975
720,9.178,7.663
720,8.752,8.381
720,8.355,9.13
720,7.986,9.907
720,7.642,10.71
720,7.322,11.54
720,7.024,12.4
720,6.746,13.29
720,6.486,14.19
720,6.243,15.13
720,6.016,16.08
720,5.803,17.06
720,5.603,18.06
720,5.415,19.09
720,5.238,20.13
720,5.071,21.19
720,4.913,22.28
720,4.764,23.38
720,4.622,24.51
720,4.487,25.65
720,4.358,26.81
720,4.236,27.99
720,4.119,29.18
720,4.007,30.39
720,3.899,31.61
720,3.796,32.85
720,3.696,34.11
720,3.601,35.37
720,3.508,36.65
720,3.419,37.95
720,3.333,39.25
720,3.249,40.56
720,3.168,41.89
720,3.09,43.22
720,3.013,44.56
720,2.939,45.9
720,2.867,47.25
720,2.797,48.61
720,2.728,49.97
720,2.662,51.34
720,2.597,52.7
720,2.534,54.07
720,2.472,55.44
720,2.413,56.82
720,2.355,58.19
720,2.298,59.56
720,2.243,60.92
720,2.19,62.29
720,2.138,63.65
720,2.087,65.01
720,2.039,66.36
720,1.991,67.71
720,1.945,69.06
720,1.9,70.4
720,1.857,71.74
720,1.815,73.07
900,23.57,0.1119
900,23.29,0.1414
900,22.97,0.1783
900,22.59,0.2239
900,22.15,0.28
900,21.64,0.3486
900,21.07,0.4316
900,20.44,0.5313
900,19.76,0.6496
900,19.04,0.7887
900,18.28,0.9505
900,17.51,1.137
900,16.73,1.349
900,15.95,1.588
900,15.18,1.856
900,14.44,2.152
900,13.72,2.478
900,13.03,2.832
900,12.37,3.215
900,11.75,3.628
900,11.16,4.068
900,10.61,4.536
900,10.1,5.03
900,9.615,5.551
900,9.165,6.097
900,8.746,6.668
900,8.355,7.264
900,7.992,7.882
900,7.654,8.523
900,7.338,9.187
900,7.045,9.871
900,6.771,10.58
900,6.515,11.3
900,6.275,12.05
900,6.051,12.82
900,5.841,13.6
900,5.644,14.4
900,5.458,15.23
900,5.283,16.07
900,5.118,16.92
900,4.961,17.8
900,4.813,18.69
900,4.672,19.6
900,4.538,20.52
900,4.411,21.46
900,4.289,22.41
900,4.172,23.38
900,4.06,24.37
900,3.953,25.36
900,3.849,26.37
900,3.75,27.39
900,3.653,28.42
900,3.56,29.47
900,3.47,30.52
900,3.383,31.59
900,3.298,32.66
900,3.216,33.74
900,3.136,34.83
900,3.058,35.92
900,2.982,37.02
900,2.908,38.13
900,2.836,39.24
900,2.766,40.36
900,2.698,41.47
900,2.631,42.59
900,2.566,43.72
900,2.503,44.84
900,2.442,45.96
900,2.383,47.08
900,2.325,48.2
900,2.268,49.32
900,2.214,50.44
900,2.161,51.56
900,2.11,52.67
900,2.06,53.78
900,2.012,54.89
900,1.965,55.99
900,1.92,57.09
900,1.876,58.18
900,1.833,59.27
900,1.792,60.35
1080,23.35,0.1119
1080,23.03,0.1411
1080,22.66,0.1773
1080,22.23,0.2219
1080,21.73,0.2765
1080,21.17,0.3426
1080,20.55,0.4221
1080,19.87,0.5167
1080,19.16,0.628
1080,18.41,0.7578
1080,17.64,0.9074
1080,16.86,1.078
1080,16.08,1.271
1080,15.31,1.487
1080,14.57,1.727
1080,13.85,1.991
1080,13.15,2.278
1080,12.49,2.59
1080,11.87,2.925
1080,11.28,3.284
1080,10.72,3.666
1080,10.2,4.07
1080,9.72,4.496
1080,9.267,4.944
1080,8.844,5.413
1080,8.451,5.901
1080,8.085,6.41
1080,7.744,6.938
1080,7.427,7.484
1080,7.131,8.049
1080,6.855,8.632
1080,6.597,9.233
1080,6.356,9.85
1080,6.131,10.48
1080,5.919,11.14
1080,5.72,11.8
1080,5.533,12.49
1080,5.357,13.18
1080,5.191,13.9
1080,5.034,14.63
1080,4.884,15.37
1080,4.743,16.13
1080,4.608,16.9
1080,4.479,17.69
1080,4.356,18.48
1080,4.239,19.3
1080,4.126,20.12
1080,4.017,20.96
1080,3.913,21.8
1080,3.812,22.66
1080,3.715,23.53
1080,3.62,24.41
1080,3.529,25.3
1080,3.44,26.2
